нуль случайных цепей: {'p_exp': 0.0, 'p_r1': 0.0, 'p_g': 0.27, 'n': 400} | точный реньевский нуль m=5: {'p_exp': 0.1085, 'p_r1': 0.05155, 'p_g': 0.05065}
нуль Синая: {'n': 0, 'note': 'z по образцам не сохранены в spec01_sinai.json'}
SLEEP_SC4001E0             m 8 ζ 0.7069872584344561 | exp: P_L 0.01 нет | rank1: P_L 0.01 нет | Fisher-g: P_L 0.00 нет [4s]
SLEEP_SC4002E0             m 8 ζ 0.6623585390853781 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.01 нет [9s]
SLEEP_SC4011E0             m 7 ζ 0.6366418295616132 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [14s]
SLEEP_SC4012E0             m 6 ζ 0.2818968734791782 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [18s]
SLEEP_SC4021E0             m 5 ζ 0.9194531155544354 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [22s]
SLEEP_SC4022E0             m 4 ζ 0.6428116061566346 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [26s]
DIP_300_s211               m 0 ζ 7.055974206697453 | exp: P_L 1.00 отказ:не разрешён | rank1: P_L 0.52 отказ:не разрешён | Fisher-g: P_L 0.00 отказ:не разрешён [32s]
DIP_300_s212               m 0 ζ 6.479268736133895 | exp: P_L 1.00 отказ:не разрешён | rank1: P_L 0.48 отказ:не разрешён | Fisher-g: P_L 0.00 отказ:не разрешён [38s]
DIP_400_s211               m 4 ζ 4.799527469086158 | exp: P_L 1.00 уровень | rank1: P_L 0.34 отказ | Fisher-g: P_L 0.00 нет [44s]
DIP_400_s212               m 4 ζ 6.149828338155966 | exp: P_L 1.00 уровень | rank1: P_L 0.99 уровень | Fisher-g: P_L 0.01 нет [51s]
DIP_500_s211               m 4 ζ 5.3616052745440905 | exp: P_L 1.00 уровень | rank1: P_L 0.72 отказ | Fisher-g: P_L 0.00 нет [57s]
DIP_500_s212               m 4 ζ 5.222187380188369 | exp: P_L 1.00 уровень | rank1: P_L 0.61 отказ | Fisher-g: P_L 0.00 нет [63s]
DIP_700_s211               m 3 ζ 14.797457467045863 | exp: P_L 1.00 уровень | rank1: P_L 1.00 уровень | Fisher-g: P_L 0.61 отказ [69s]
DIP_700_s212               m 3 ζ 11.306238883028456 | exp: P_L 1.00 уровень | rank1: P_L 1.00 уровень | Fisher-g: P_L 0.28 отказ [76s]
LJ_0.18_301                m 0 ζ None | exp: P_L 0.00 отказ:не разрешён | rank1: P_L 0.00 отказ:не разрешён | Fisher-g: P_L 0.00 отказ:не разрешён [79s]
LJ_0.18_302                m 0 ζ None | exp: P_L 0.00 отказ:не разрешён | rank1: P_L 0.00 отказ:не разрешён | Fisher-g: P_L 0.00 отказ:не разрешён [82s]
LJ_0.18_303                m 0 ζ None | exp: P_L 0.00 отказ:не разрешён | rank1: P_L 0.00 отказ:не разрешён | Fisher-g: P_L 0.00 отказ:не разрешён [85s]
LJ_0.22_301                m 0 ζ 1.4371837013492876 | exp: P_L 0.20 отказ:не разрешён | rank1: P_L 0.00 отказ:не разрешён | Fisher-g: P_L 0.00 отказ:не разрешён [88s]
LJ_0.22_302                m 0 ζ None | exp: P_L 0.00 отказ:не разрешён | rank1: P_L 0.00 отказ:не разрешён | Fisher-g: P_L 0.00 отказ:не разрешён [91s]
LJ_0.22_303                m 0 ζ 4.76397628756443 | exp: P_L 1.00 отказ:не разрешён | rank1: P_L 0.00 отказ:не разрешён | Fisher-g: P_L 0.00 отказ:не разрешён [93s]
LJ_0.25_301                m 4 ζ 1.4669651346474557 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [95s]
LJ_0.25_302                m 4 ζ 1.2825397004330663 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [97s]
LJ_0.25_303                m 4 ζ 1.390404961266095 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [99s]
LJ_0.28_301                m 4 ζ 0.9237323760377335 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [101s]
LJ_0.28_302                m 4 ζ 1.6417153269250169 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [103s]
LJ_0.28_303                m 4 ζ 1.278985867971065 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [105s]
LJ_0.36_301                m 5 ζ 0.5962999324139353 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [107s]
LJ_0.36_302                m 4 ζ 0.6319279037865237 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [110s]
LJ_0.36_303                m 6 ζ 0.47823416065681507 | exp: P_L 0.00 нет | rank1: P_L 0.00 нет | Fisher-g: P_L 0.00 нет [112s]
готово 111.81037735939026
