ionum,name,long,y0,y1,sdate,deaddate,dead,integrated,replaced
10,ACPEU,ACP-EU Joint Assembly,1984,2014,1984,,0,0,0
20,ACSSRB,Adminstrative Center for Social Security for Rhine Boatmen,1950,2014,1950,,0,0,0
25,ACWL,Advisory Centre on WTO Law (ACWL),2001,2014,2001,,0,0,0
30,CAMES,African and Malagasy Council for Higher Education,1968,2014,1968,,0,0,0
40,AMSC,African and Malagasy Sugar Council,1966,1977,1966,1977.0,1,0,0
50,ACSO,African Civil Service Observatory (ACSO),1991,2014,1991,,0,0,0
60,ACI,African Cultural Institute (ACI)/African and Maritanian Cultual Institute,1971,1999,1971,1999.0,1,0,0
70,AfDB,African Development Bank,1963,2014,1963,,0,0,0
80,AFEXIMB,African Export Import Bank (Afreximbank),1993,2014,1993,,0,0,0
90,AFRAND,African Foundation for Research and Development (AFRAND),1994,2000,1994,2000.0,1,0,0
100,AFGEC,African Fund for Guarantee and Economic Cooperation,1977,2014,1977,,0,0,0
110,AGC,African Groundnut Council,1964,2014,1964,,0,0,0
115,AIPO,African Intellectual Property Organization,1976,2014,1976,,0,0,0
120,AMCO,African Malagasy Coffee Organization,1960,2007,1960,2007.0,1,0,0
125,AMCOW,African Ministers' Council on Water (AMCOW),2002,2014,2002,,0,0,0
130,AfrOPDA,African Oil Palm Development Association (AFOPDA),1985,2001,1985,2001.0,1,0,0
140,AOCRS,African Organization of Cartography and Remote Sensing (AOCRS),1988,2014,1988,,0,0,0
150,APPA,African Petroleum Producers Association (APPA),1987,1998,1987,1998.0,1,0,0
155,APTU,African Postal and Telecommunications Union,1935,1965,1935,1965.0,1,0,0
160,AFPU,African Postal Union,1961,2014,1961,,0,0,0
170,ARIPO,African Regional Industrial Property Organization (ARIPO)/Afr. Regional Intellectual Property Org.,1976,2014,1976,,0,0,0
180,Africare,African Reinsurance Corporation (AFRICA RE),1976,2014,1976,,0,0,0
190,ASATP,African School of Architecture and Town Planning,1975,2014,1975,,0,0,0
200,ASCBC,African Standing Conference on Bibliographic Control (ASCOBIC),1978,2000,1978,2000.0,1,0,0
210,ATO,African Timber Organization (ATO),1976,2004,1976,2004.0,1,0,0
220,ACP,"African, Caribbean and Pacific Group of States (ACP Group)",1975,2014,1975,,0,0,0
225,ALSF,African Legal Support Facility,2009,2014,2009,,0,0,0
230,AARO,Afro-Asian Rural Reconstruction Organization,1962,2014,1962,,0,0,0
240,AMIPO,Afro-Malagasy Industrial Property Office,1962,1975,1962,1975.0,1,0,1
250,AMPTU,Afro-Malagasy Postal and Telecommunications Union/African Posts and Telecommunic,1961,1996,1961,1996.0,1,0,0
260,OCAM,Afro-Malagasy Union (Common Afro-Malagasy Economic Organization) (OCAM),1961,1985,1961,1985.0,1,0,0
270,ACCT,Agence de La Francophonie (ACCT),1970,2014,1970,2005.0,1,0,1
275,AITIC,Agency for International Trade Information and Cooperation (AITIC),2004,2011,2004,2011.0,1,0,0
280,OPANAL,Agency for the Prohibition of Nuclear Weapons in Latin America and the,1969,2014,1969,,0,0,0
290,ASECNA,Agency for the Safety of Aerial Navigation in Africa and Madagascar,1959,2014,1959,,0,0,0
300,BONN,Agreement for cooperation in dealing with pollution of the North Sea (Bonn Agree,1983,2014,1983,,0,0,0
310,AmCC,Amazonian Cooperation Council,1978,2014,1978,,0,0,0
320,ACDT,American Committee on Dependent Territories,1948,1956,1948,1956.0,1,0,0
330,Andean,Andean Common Market (ANCOM)/Andean Pact/Andean Community,1970,2014,1970,,0,0,0
340,AP,Andean Parliament,1980,1989,1980,1989.0,1,1,0
360,ANZUS,ANZUS Council,1951,2014,1951,,0,0,0
370,AAAID,Arab Authority for Agricultural Investment and Development (AAAID),1976,2014,1976,,0,0,0
380,ABEDA,Arab Bank for Economic Development in Africa,1974,2014,1974,,0,0,0
390,ACML,Arab Centre for Medical Literature (ACML),1983,2000,1983,2000.0,1,0,0
400,ACC,Arab Cooperation Council (ACC),1989,1990,1989,1990.0,1,0,0
410,AFTE,Arab Federation for Technical Education (AFTE),1980,2003,1980,2003.0,1,0,0
420,AFESD,Arab Fund for Economic and Social Development (AFESD),1968,2014,1968,,0,0,0
430,AGPUNDO,Arab Gulf Programme for United Nations Development Organizations,1981,2014,1981,,0,0,0
440,AIDO,Arab Industrial Development and Mining Organization (AIDMO),1968,2014,1968,,0,0,0
450,AIC,Arab Investment Company (AIC),1974,2014,1974,,0,0,0
460,ALO,Arab Labour Organization (ALO),1965,2014,1965,,0,0,0
470,AMU,Arab Maghreb Union (AMU),1989,2014,1989,,0,0,0
490,AMF,Arab Monetary Fund (AMF),1976,2014,1976,,0,0,0
500,AOAD,Arab Organization for Agricultural Development (AOAD),1970,2014,1970,,0,0,0
510,AOMR,Arab Organization for Mineral Resources (AOMR),1979,1991,1979,1991.0,1,1,0
520,ARPU,Arab Postal Union/Arab Permanent Postal Commission (APPC),1952,2014,1952,,0,0,0
530,ArticC,Arctic Council,1996,2014,1996,,0,0,0
540,ASEF,Asia-Europe Foundation (ASEF),1997,2014,1997,,0,0,0
550,APCC,Asian and Pacific Coconut Community (APCC),1968,2014,1968,,0,0,0
560,ASPAC,Asian and Pacific Council (ASPAC),1966,1973,1966,1973.0,1,0,0
570,ACU,Asian Clearing Union (ACU),1974,2014,1974,,0,0,0
580,AsDB,Asian Development Bank (ADB),1966,2014,1966,,0,0,0
590,AIDC,Asian Industrial Development Council (AIDC),1966,1974,1966,1974.0,1,0,0
600,APO,Asian Productivity Organization,1961,2014,1961,,0,0,0
610,ARC,Asian Reinsurance Corporation (Asian Re),1979,2014,1979,,0,0,0
620,AVRDC,Asian Vegetable Research and Development Center (AVRDC),1971,2014,1971,,0,0,0
630,AALCO,Asian-African Legal Consultative Committee,1956,2014,1956,,0,0,0
640,AOPU,Asian-Oceanic Postal Union/Asian-Pacific Postal Union,1962,2014,1962,,0,0,0
650,APEC,Asia-Pacific Economic Cooperation (APEC),1989,2014,1989,,0,0,0
660,APIBD,Asia-Pacific Institute for Broadcasting Development (AIBD),1987,2014,1987,,0,0,0
670,APT,Asia-Pacific Telecommunity (APT),1976,2014,1976,,0,0,0
680,ABEPSEAC,Association between the European Economic Community and the Partner States of th,1968,1975,1968,1975.0,1,0,1
690,AACB,Association of African Central Banks (AACB),1968,2014,1968,,0,0,0
700,AATA,Association of African Tax Administrators (AATA),1987,2014,1987,,0,0,0
710,AATPO,Association of African Trade Promotion Organizations (AATPO),1974,1992,1974,1992.0,1,1,0
720,ACS,Association of Caribbean States (ACS),1994,2014,1994,,0,0,0
725,AFSPC,Association of Financial Supervisors of Pacific Countries (AFSPC),2002,2014,2002,,0,0,0
730,AIOEC,Association of Iron Ore Exporting Countries,1975,1998,1975,1998.0,1,0,0
740,ASCRubber,Association of Natural Rubber Producing Countries (ANRPC),1970,2014,1970,,0,0,0
750,ASEAN,Association of South East Asian Nations (ASEAN),1967,2014,1967,,0,0,0
760,ASBLAC,Association of Supervisors of Banks of Latin America and the Caribbean,1981,2014,1981,,0,0,0
770,ATPC,Association of Tin Producing Countries (ATPC),1983,2001,1983,2001.0,1,0,0
780,BC,Baltic Council,1991,2014,1991,,0,0,0
800,BALTBAT,Baltic Peacekeeping Battalion (BALTBAT),1994,2003,1994,2003.0,1,0,0
810,BIS,Bank for International Settlements,1930,2014,1930,,0,0,0
815,BS,Bank of the South,2007,2014,2007,,0,0,0
820,BIISEF,Banque internationale d'information sur les Etats francophones (BIEF),1986,1996,1986,1996.0,1,1,0
825,BOBP,Bay of Bengal Programme Inter-Governmental Organization (BOBP-IGO),2003,2014,2003,,0,0,0
832,BORGIP,Benelux Organization for Intellectual Property,2006,2014,2006,,0,0,0
840,BENELUX,Benelux Economic Union,1958,2014,1958,,0,0,0
850,BIONET,BioNET INTERNATIONAL - Global Network for Biosystematics (BI),1991,2014,1991,,0,0,0
860,BNDP,Board of Nordic Development Projects,1968,1987,1968,1987.0,1,0,0
870,BCSC,British Commonwealth Scientific Committee/Commonwealth Science Council (CSC),1946,2014,1946,,0,0,0
871,CABI,CAB International,1986,2014,1986,,0,0,0
873,CSLF,Carbon Sequestration Leadership Forum (CSLF),2003,2014,2003,,0,0,0
875,CComm,Caribbean Commission/Anglo-American Caribbean Commission (AACarib),1946,1959,1946,1959.0,1,0,0
880,CARICOM,Caribbean Community (CARICOM),1973,2014,1973,,0,0,0
890,CDB,Caribbean Development Bank (CDB),1969,2014,1969,,0,0,0
900,CXC,Caribbean Examinations Council (CXC),1972,2014,1972,,0,0,0
910,CFATF,Caribbean Financial Action Task Force (CFATF),1994,2014,1994,,0,0,0
912,CARIFTA,Caribbean Free Trade Association (CARIFTA),1966,1973,1966,1973.0,1,0,1
913,Corg,Caribbean Organization,1960,1965,1960,1965.0,1,0,0
920,CPU,Caribbean Postal Union (CPU),1997,2014,1997,,0,0,0
940,UDEAC,Central African Customs and Economic Union (UDEAC),1964,1994,1964,1994.0,1,0,1
950,CACB,Central American Coffee Board,1975,1979,1975,1979.0,1,0,1
970,CAEC,Central American Energy Commission,1979,1993,1979,1993.0,1,0,0
980,CAIPA,Central American Institute for Public Administration,1954,2014,1954,,0,0,0
990,SICA,Central American Integration System (SICA),1991,2014,1991,,0,0,0
1000,CAMSF,Central American Monetary Stabilization Fund,1969,1991,1969,1991.0,1,1,0
1010,CARII,Central American Research Institute for Industry,1956,1997,1956,1997.0,1,0,0
1020,CEEPN,Central and Eastern European Privatization Network (CEEPN),1991,2001,1991,2001.0,1,0,0
1030,CAECC,Central Asian Economic Community/Central Asian Economic Union/Central Asian Cooperation Organization,1994,2006,1994,2006.0,1,1,0
1040,CBI,"Central Bureau for the International 1:1,000,000 Map of the World",1909,1953,1909,1953.0,1,0,0
1050,CCNR,Central Commission for the Navigation of the Rhine,1816,2014,1815,,0,0,0
1060,CCOM,Central Compensation Office of the Maghreb,1969,2000,1969,2000.0,1,0,0
1070,CEFTA,Central European Free Trade Association (CEFTA),1992,2014,1992,,0,0,0
1080,CEI,Central European Initiative (CEI),1989,2014,1989,,0,0,0
1090,OTIF,Central Office for International Railway Transport/OTIF,1890,2014,1890,,0,0,0
1095,CPAB,Central Pan American Bureau of Eugenics and Homiculture,1927,1949,1927,1949.0,1,0,0
1100,CENTO,Central Treaty Organization (CENTO)/Middle East Treaty Organization,1955,1979,1955,1979.0,1,0,0
1110,INFSMK,Centre for Marketing Information and Advisory Services for Fishery/INFOSAMAK,1986,2014,1986,,0,0,0
1115,CfRN,Coalition for Rainforest Nations,2005,2014,2005,,0,0,0
1120,CCPA,Cocoa Producers Alliance,1962,2014,1962,,0,0,0
1125,CSTO,Collective Security Treaty Organization (CSTO),2002,2014,2002,,0,0,0
1130,COSAVE,Comit Regional de Sanidad Vegetal del Cono Sur (COSAVE),1991,2014,1991,,0,0,0
1140,CIFC,Commission for International Financial Control in Macedonia,1905,1914,1905,1914.0,1,0,0
1145,CTCAf,Commission for Technical Cooperation in Africa South of the Sahara,1950,1965,1950,1965.0,1,0,0
1150,LCBC,Commission of the Chad Basin/Lake Chad Basin Commission,1964,2014,1964,,0,0,0
1160,CFC,Common Fund for Commodities (CFC),1989,2014,1989,,0,0,0
1170,COMESA,Common Market for Eastern and Southern Africa (COMESA),1994,2014,1994,,0,0,0
1180,CAARC,Commonwealth Advisory Aeronautical Research Council (CAARC),1946,1993,1946,1993.0,1,0,0
1190,ComAB,Commonwealth Agricultural Bureau,1929,1985,1929,1985.0,1,0,1
1200,CATC,Commonwealth Air Transport Council,1945,1991,1945,1991.0,1,0,0
1210,CEC,Commonwealth Economic Committee,1925,1967,1925,1967.0,1,1,0
1220,CELC,Commonwealth Education Liaison Committee,1960,1967,1960,1967.0,1,1,0
1230,CIS,Commonwealth of Independent States (CIS),1991,2014,1991,,0,0,0
1240,ComSec,Commonwealth Secretariat (ComSec),1965,2014,1965,,0,0,0
1250,CTO,Commonwealth Telecommunications Board/CTO,1928,2014,1928,,0,0,0
1260,CEMAC,Communaut conomique et montaire d'Afrique centrale (CEMAC),1994,2014,1994,,0,0,0
1270,CPSC,Community of Portuguese-Speaking Countries,1996,2014,1996,,0,0,0
1280,CAAD,Concerted Action for African Development,1979,1988,1979,1988.0,1,0,0
1290,CIMA,Confrence interafricaine des marchs d'assurances (CIMA)/Inter-African Conference on Insurance Markets,1992,2014,1992,,0,0,0
1300,CONFEJES,Confrence des ministres de la jeunesse et des sports des pays,1977,2014,1977,,0,0,0
1310,CAMRSD,Conference of African Ministers Responsible for Sustainable,1993,1997,1993,1997.0,1,0,1
1320,CHSTEA,Conference of Heads of State of Equatorial Africa,1960,1968,1960,1968.0,1,0,0
1330,CMAOC,Conference of Ministers of Agriculture of West and Central Africa,1991,2014,1991,,0,0,0
1340,COPTAC,Conference of Posts and Telecommunications Administrations of Central Africa/Conf. of Posts & Telecommunications  of Central Africa,1975,2014,1975,,0,0,0
1345,CICA,Conference on Interaction and Confidence-Building Measures in Asia (CICA),2006,2014,2006,,0,0,0
1350,CACI,Conferencia de Autoridades Cinematogrficas de Iberoamerica (CACI),1989,2014,1989,,0,0,0
1355,CBFP,Congo Basin Forest Partnership (CBFP),2002,2014,2002,,0,0,0
1360,CAB,"Convenio Andrs Bello de integraci n educativa, cientfica y cultural",1970,2014,1970,,0,0,0
