HVP eps consistency rel diff: 2.5265341309218336e-09
t=998 before_switch: lambda_max=0.1727 lambda*lr=1.727 loss=0.0719 [121s]
t=999 before_switch: lambda_max=0.1808 lambda*lr=1.808 loss=0.0633 [128s]
t=4462 mid: lambda_max=0.2440 lambda*lr=2.440 loss=0.1238 [511s]
t=4499 pre: lambda_max=0.3344 lambda*lr=3.344 loss=0.0652 [523s]
t=4500 pre: lambda_max=0.3357 lambda*lr=3.357 loss=0.0649 [531s]
t=4501 pre: lambda_max=0.3368 lambda*lr=3.368 loss=0.0647 [538s]
t=4502 pre: lambda_max=0.3379 lambda*lr=3.379 loss=0.0648 [546s]
t=4503 pre: lambda_max=0.3388 lambda*lr=3.388 loss=0.0664 [554s]
t=4504 pre: lambda_max=0.3399 lambda*lr=3.399 loss=0.0771 [561s]
t=4505 pre: lambda_max=0.3396 lambda*lr=3.396 loss=0.1397 [568s]
t=4506 pre: lambda_max=0.3553 lambda*lr=3.553 loss=0.4938 [575s]
t=4507 burst: lambda_max=0.4026 lambda*lr=4.026 loss=2.1831 [583s]
t=4508 burst: lambda_max=0.3927 lambda*lr=3.927 loss=4.6461 [590s]
t=4509 burst: lambda_max=0.0498 lambda*lr=0.498 loss=0.8755 [598s]
