HVP eps consistency rel diff: 2.5265341309218336e-09
t=998 before_switch: lambda*lr cold30=1.727 warm8=1.722 loss=0.0719 [120s]
t=999 before_switch: lambda*lr cold30=1.802 warm8=1.799 loss=0.0633 [129s]
t=1476 mid: lambda*lr cold30=2.515 warm8=2.506 loss=0.1168 [186s]
t=1513 pre: lambda*lr cold30=3.317 warm8=3.314 loss=0.0679 [198s]
t=1514 pre: lambda*lr cold30=3.326 warm8=3.325 loss=0.0677 [207s]
t=1515 pre: lambda*lr cold30=3.336 warm8=3.336 loss=0.0675 [215s]
t=1516 pre: lambda*lr cold30=3.345 warm8=3.346 loss=0.0678 [224s]
t=1517 pre: lambda*lr cold30=3.354 warm8=3.356 loss=0.0702 [233s]
t=1518 pre: lambda*lr cold30=3.359 warm8=3.362 loss=0.0852 [243s]
t=1519 pre: lambda*lr cold30=3.357 warm8=3.360 loss=0.1705 [252s]
t=1520 pre: lambda*lr cold30=3.500 warm8=3.299 loss=0.6364 [262s]
t=1521 burst: lambda*lr cold30=4.137 warm8=3.845 loss=2.6366 [271s]
t=1522 burst: lambda*lr cold30=3.400 warm8=3.400 loss=4.1673 [281s]
t=1523 burst: lambda*lr cold30=0.285 warm8=0.285 loss=0.7208 [290s]
t=1565 mid: lambda*lr cold30=2.531 warm8=2.429 loss=0.1144 [302s]
t=1602 pre: lambda*lr cold30=3.330 warm8=3.302 loss=0.0670 [314s]
t=1603 pre: lambda*lr cold30=3.339 warm8=3.315 loss=0.0668 [321s]
t=1604 pre: lambda*lr cold30=3.348 warm8=3.326 loss=0.0668 [329s]
t=1605 pre: lambda*lr cold30=3.358 warm8=3.338 loss=0.0676 [338s]
t=1606 pre: lambda*lr cold30=3.364 warm8=3.348 loss=0.0734 [348s]
t=1607 pre: lambda*lr cold30=3.371 warm8=3.357 loss=0.1070 [357s]
t=1608 pre: lambda*lr cold30=3.351 warm8=3.342 loss=0.2967 [367s]
t=1609 pre: lambda*lr cold30=3.836 warm8=3.486 loss=1.2667 [376s]
t=1610 burst: lambda*lr cold30=4.171 warm8=4.168 loss=4.1445 [385s]
t=1611 burst: lambda*lr cold30=1.616 warm8=1.616 loss=1.9120 [394s]
t=1612 burst: lambda*lr cold30=0.380 warm8=0.380 loss=0.7640 [402s]
t=1654 mid: lambda*lr cold30=2.499 warm8=2.387 loss=0.1193 [414s]
t=1691 pre: lambda*lr cold30=3.324 warm8=3.293 loss=0.0670 [425s]
t=1692 pre: lambda*lr cold30=3.334 warm8=3.305 loss=0.0668 [433s]
t=1693 pre: lambda*lr cold30=3.343 warm8=3.318 loss=0.0667 [441s]
t=1694 pre: lambda*lr cold30=3.352 warm8=3.329 loss=0.0673 [449s]
t=1695 pre: lambda*lr cold30=3.361 warm8=3.341 loss=0.0723 [457s]
t=1696 pre: lambda*lr cold30=3.364 warm8=3.344 loss=0.1017 [466s]
t=1697 pre: lambda*lr cold30=3.349 warm8=3.337 loss=0.2685 [475s]
t=1698 pre: lambda*lr cold30=3.699 warm8=3.212 loss=1.1422 [483s]
t=1699 burst: lambda*lr cold30=4.297 warm8=4.218 loss=3.9473 [491s]
t=1700 burst: lambda*lr cold30=1.949 warm8=1.949 loss=2.3336 [500s]
t=1701 burst: lambda*lr cold30=0.310 warm8=0.310 loss=0.7325 [508s]
