t=0 tr=0.020 te=0.012 loss=4.0985 wn=84.8 [0s]
t=1000 tr=1.000 te=0.439 loss=0.0000 wn=53.3 [153s]
t=2000 tr=1.000 te=0.436 loss=0.0006 wn=40.5 [284s]
t=3000 tr=1.000 te=0.461 loss=0.0000 wn=43.9 [422s]
t=4000 tr=1.000 te=0.527 loss=0.0000 wn=44.1 [566s]
t=5000 tr=1.000 te=0.993 loss=0.0007 wn=31.7 [706s]
t=6000 tr=1.000 te=1.000 loss=0.0000 wn=31.8 [832s]
t=7000 tr=1.000 te=1.000 loss=0.0000 wn=28.2 [1008s]
t=8000 tr=1.000 te=1.000 loss=0.0000 wn=28.0 [1187s]
t=9000 tr=1.000 te=1.000 loss=0.0000 wn=27.9 [1357s]
t=10000 tr=1.000 te=1.000 loss=0.0000 wn=27.9 [1541s]
t=11000 tr=1.000 te=1.000 loss=0.0000 wn=27.9 [1722s]
wd1=10: post-switch te mean 1.000 min 1.000 frac<0.5 0.000 crossings 0 final 1.000 [1899s]
