t=0 loss=4.0985 tr=0.027 te=0.012 [2s]
t=500 loss=0.0038 tr=0.999 te=0.428 [72s]
t=1000 loss=0.0000 tr=1.000 te=0.439 [139s]
t=1500 loss=0.0000 tr=1.000 te=0.443 [211s]
t=2000 loss=0.0006 tr=1.000 te=0.436 [287s]
t=2500 loss=0.0001 tr=1.000 te=0.453 [358s]
t=3000 loss=0.0000 tr=1.000 te=0.461 [433s]
t=3500 loss=0.0032 tr=1.000 te=0.480 [511s]
t=4000 loss=0.0000 tr=1.000 te=0.527 [581s]
t=4500 loss=0.0000 tr=1.000 te=0.846 [650s]
t=5000 loss=0.0007 tr=1.000 te=0.993 [723s]
t=5500 loss=0.0000 tr=1.000 te=1.000 [789s]
done: t_grok=3800 final te=1.000 time/step=142.4 ms
