yc,mean,median,share_ge2,share_ge3
2005,1.1594928032899245,1.0,0.3178204249485949,0.07834132967786155
2006,1.0974513821488912,1.0,0.24738488083683813,0.10406556669901866
2007,0.9318307331216347,1.0,0.12097887615628883,0.016395140135303053
2008,1.159527972027972,1.0,0.2239010989010989,0.031156343656343656
2009,1.2127690071052686,1.0,0.24592010156234004,0.029547269488297806
2010,1.3834635135718292,1.0,0.34300694774090534,0.07038363612825271
2011,1.4305970003705655,1.0,0.36303707604392177,0.08915023501648041
2012,1.4778956158663883,1.0,0.39570772442588725,0.078580375782881
2013,1.5819032523546803,1.0,0.4417045142804889,0.10599871978541164
2014,1.6650456360524815,2.0,0.5061180832857958,0.1333713633770679
2015,1.5588732798165137,1.0,0.4779243119266055,0.0752723623853211
2016,1.5678293480712835,2.0,0.5057946086171893,0.06337412587412587
2017,1.5524480223634873,1.0,0.49937505879823135,0.054000295671106216
2018,1.5341995321985318,1.0,0.4796046671984641,0.05681218987872314
2019,1.5690063143032695,2.0,0.5178382335638555,0.05094583818127149
2020,1.5493060453551064,1.0,0.49320390670763053,0.05876797647368232
2021,1.5380125767217683,1.0,0.47098693376510903,0.06761556902762611
2022,1.574843418527124,2.0,0.5044448934235781,0.07118143246792605
2023,1.5778249587166784,2.0,0.5069002123142251,0.07071243217740034
2024,1.5816002405197318,2.0,0.5199017006313643,0.06181618540934106
2025,1.6012028150991682,2.0,0.5196289187460013,0.0800383877159309
2026,1.5670601461495222,2.0,0.5032201076045932,0.06480366176824862
