year,authors,committers,patches,null_thr,detectable,rho_gt_099,rho_gt_09,components,largest_gap_at,trees_linus
2006,678,90,25430,0.316,71,3,16,4,67,44
2007,691,110,26471,0.303,86,0,14,1,86,85
2008,1007,163,45233,0.31,130,1,20,2,129,111
2009,1077,184,45701,0.345,151,3,22,4,120,143
2010,1154,194,43181,0.291,179,4,34,4,174,138
2011,1243,229,47866,0.444,185,4,40,4,149,220
2012,1354,256,56691,0.353,224,5,31,6,222,181
2013,1462,269,61911,0.358,223,0,31,1,186,164
2014,1582,275,65974,0.318,222,1,27,2,1,166
2015,1743,269,65364,0.404,193,1,25,2,164,157
2016,1796,278,66515,0.319,230,3,30,4,216,159
2017,1827,267,69561,0.296,227,1,20,2,207,163
2018,1841,295,69144,0.333,235,0,29,1,220,162
2019,1941,292,71884,0.301,252,1,25,2,239,186
2020,2023,286,78604,0.362,220,0,22,1,207,174
2021,2042,291,74429,0.363,232,0,23,1,216,169
2022,2065,301,73743,0.33,247,2,28,3,172,174
2023,2099,312,79377,0.35,242,1,27,1,235,180
2024,2097,323,70798,0.353,264,1,25,1,146,187
2025,2208,350,72056,0.34,284,1,32,2,277,178
