year,volume,n_authors,n_committers,p90,p50,p99,max_thr,linus_share,sob_mean,sob_ge3,committers_ge100,committers_ge500
2005,14590,1432,63,565.0000000000003,49.0,2532.680000000005,3671,0.3950651130911583,2.1344071281699795,0.35037697052775874,21,8
2006,27819,2137,117,519.0000000000009,27.0,2124.0000000000014,7231,0.3034257162371041,2.159746935547647,0.33646069233257847,40,12
2007,28972,2290,130,459.5000000000003,45.5,2341.3499999999967,6057,0.21303327350545354,2.118010492889687,0.28682866215656494,47,11
2008,48048,2710,180,617.3999999999996,49.5,4453.170000000011,5587,0.11634199134199134,2.0377122877122877,0.23767898767898768,70,22
2009,48837,2978,193,446.20000000000044,66.0,3794.399999999997,5171,0.07740033171570736,1.939083072260786,0.16378974957511722,80,18
2010,46346,3078,221,412.0,50.0,2785.000000000004,4874,0.051137099210287834,1.9228628144823716,0.1429896862728175,85,17
2011,51273,3196,255,410.0,55.0,2705.9400000000046,5882,0.042068925165291676,1.9091529654984105,0.13648508961831762,96,18
2012,59875,3319,283,432.0000000000003,60.0,2611.4400000000032,6812,0.04223799582463465,1.8836910229645094,0.12537787056367433,116,22
2013,65614,3547,295,473.20000000000084,54.0,2024.8000000000025,8110,0.04633157557838266,1.9352577193891547,0.13882707958667356,108,27
2014,70120,3959,303,524.6000000000001,56.0,2324.5000000000014,10081,0.03977467199087279,1.9600399315459214,0.12619794637763834,110,32
2015,69760,4223,294,509.8999999999998,59.0,2300.8599999999965,8845,0.031422018348623855,1.9705131880733946,0.13626720183486238,109,30
2016,70928,4276,300,516.2,61.5,2221.569999999997,6958,0.036304421385066545,1.9642454319873675,0.14549966162869388,122,33
2017,74407,4510,300,499.9000000000009,69.5,2283.0499999999893,9105,0.026811993495235664,1.9889123335170078,0.14580617415028155,132,30
2018,73963,4570,320,506.80000000000064,65.5,2188.270000000001,8086,0.024471695307113017,1.9795708665143383,0.13604099346970783,132,33
2019,76493,4590,329,471.79999999999984,71.0,2941.319999999957,7490,0.024747362503758513,1.9608199443086296,0.12883531826441635,126,32
2020,83651,4838,314,624.7,71.0,3232.9700000000025,7029,0.03312572473730141,1.9759596418452858,0.13341143560746435,132,42
2021,79671,4981,318,552.8000000000002,64.5,2949.419999999989,6631,0.029998368289590942,2.014848564722421,0.14236045738097927,131,37
2022,79192,5126,332,522.7000000000014,77.5,3325.309999999999,4300,0.012614910597030004,1.9650469744418628,0.11040256591574907,147,34
2023,84780,5040,344,511.9999999999999,77.0,3292.7599999999984,4001,0.0027718801604151924,1.9448572776598254,0.09814814814814815,146,37
2024,76501,5338,359,463.1999999999999,71.0,2871.1600000000008,4185,0.002640488359629286,1.9306675729729024,0.10099214389354387,139,33
2025,78150,5608,400,490.8000000000004,58.0,2527.229999999993,5551,0.0017658349328214971,1.9333205374280231,0.10712731925783749,146,40
2026,62265,5683,384,372.7,50.5,2324.420000000005,4739,0.0016702802537541155,1.9483658556171204,0.0924114671163575,130,26
