ошибки/головы: {}
интервальный балл: {'K1': 0.5154, 'K2': 0.4729, 'K3': 0.5096, 'HAI': 2.6256, 'SON': 3.0901}
TWIN
  K1-K2: корреляция ошибок +1.00, одинаковых оценок 5/6
  K1-K3: корреляция ошибок +1.00, одинаковых оценок 5/6
  K1-HAI: корреляция ошибок +1.00, одинаковых оценок 2/6
  K1-SON: корреляция ошибок +1.00, одинаковых оценок 0/6
  K2-K3: корреляция ошибок +1.00, одинаковых оценок 6/6
  K2-HAI: корреляция ошибок +1.00, одинаковых оценок 3/6
  K2-SON: корреляция ошибок +1.00, одинаковых оценок 0/6
  K3-HAI: корреляция ошибок +1.00, одинаковых оценок 3/6
  K3-SON: корреляция ошибок +1.00, одинаковых оценок 0/6
  HAI-SON: корреляция ошибок +1.00, одинаковых оценок 0/6
COLLATZ
  K1-K2: корреляция ошибок +1.00, одинаковых оценок 0/6
  K1-K3: корреляция ошибок +0.97, одинаковых оценок 1/6
  K1-HAI: корреляция ошибок +1.00, одинаковых оценок 0/6
  K1-SON: корреляция ошибок +1.00, одинаковых оценок 0/6
  K2-K3: корреляция ошибок +0.98, одинаковых оценок 0/6
  K2-HAI: корреляция ошибок +1.00, одинаковых оценок 0/6
  K2-SON: корреляция ошибок +1.00, одинаковых оценок 0/6
  K3-HAI: корреляция ошибок +0.97, одинаковых оценок 0/6
  K3-SON: корреляция ошибок +0.97, одинаковых оценок 2/6
  HAI-SON: корреляция ошибок +1.00, одинаковых оценок 0/6
